1;1970 Napa Ct.;Bothell;Washington;98011
2;9833 Mt. Dias Blv.;Bothell;Washington;98011
3;7484 Roundtree Drive;Bothell;Washington;98011
4;9539 Glenside Dr;Bothell;Washington;98011
5;1226 Shoe St.;Bothell;Washington;98011
6;1399 Firestone Drive;Bothell;Washington;98011
7;5672 Hale Dr.;Bothell;Washington;98011
8;6387 Scenic Avenue;Bothell;Washington;98011
9;8713 Yosemite Ct.;Bothell;Washington;98011
10;250 Race Court;Bothell;Washington;98011
11;1318 Lasalle Street;Bothell;Washington;98011
12;5415 San Gabriel Dr.;Bothell;Washington;98011
13;9265 La Paz;Bothell;Washington;98011
14;8157 W. Book;Bothell;Washington;98011
15;4912 La Vuelta;Bothell;Washington;98011
16;40 Ellis St.;Bothell;Washington;98011
17;6696 Anchor Drive;Bothell;Washington;98011
18;1873 Lion Circle;Bothell;Washington;98011
19;3148 Rose Street;Bothell;Washington;98011
20;6872 Thornwood Dr.;Bothell;Washington;98011
21;5747 Shirley Drive;Bothell;Washington;98011
22;636 Vine Hill Way;Portland;Oregon;97205
23;6657 Sand Pointe Lane;Seattle;Washington;98104
24;80 Sunview Terrace;Duluth;Minnesota;55802
25;9178 Jumping St.;Dallas;Texas;75201
26;5725 Glaze Drive;San Francisco;California;94109
27;2487 Riverside Drive;Nevada;Utah;84407
28;9228 Via Del Sol;Phoenix;Arizona;85004
29;8291 Crossbow Way;Memphis;Tennessee;38103
30;9707 Coldwater Drive;Orlando;Florida;32804
31;9100 Sheppard Avenue North;Ottawa;Ontario;K4B 1T7
32;26910 Indela Road;Montreal;Quebec;H1Y 2H5
33;10203 Acorn Avenue;Calgary;Alberta;T2P 2G8
34;94, rue Descartes;Bordeaux;Gironde;33000
35;Pascalstr 951;Berlin;Hamburg;14111
36;34 Waterloo Road;Melbourne;Victoria;3000
37;Downshire Way;Cambridge;England;BA5 3HX
38;8154 Via Mexico;Detroit;Michigan;48226
39;3997 Via De Luna;Cambridge;Massachusetts;2139
40;1902 Santa Cruz;Bothell;Washington;98011
41;793 Crawford Street;Kenmore;Washington;98028
42;463 H Stagecoach Rd.;Kenmore;Washington;98028
43;5203 Virginia Lane;Kenmore;Washington;98028
44;4095 Cooper Dr.;Kenmore;Washington;98028
45;6697 Ridge Park Drive;Kenmore;Washington;98028
46;5669 Ironwood Way;Kenmore;Washington;98028
47;8192 Seagull Court;Kenmore;Washington;98028
48;5553 Cash Avenue;Kenmore;Washington;98028
49;7048 Laurel;Kenmore;Washington;98028
50;25 95th Ave NE;Kenmore;Washington;98028
51;3280 Pheasant Circle;Snohomish;Washington;98296
52;4231 Spar Court;Snohomish;Washington;98296
53;1285 Greenbrier Street;Snohomish;Washington;98296
54;5724 Victory Lane;Snohomish;Washington;98296
55;591 Merriewood Drive;Snohomish;Washington;98296
56;3114 Notre Dame Ave.;Snohomish;Washington;98296
57;7230 Vine Maple Street;Snohomish;Washington;98296
58;2601 Cambridge Drive;Snohomish;Washington;98296
59;2115 Passing;Snohomish;Washington;98296
60;4852 Chaparral Court;Snohomish;Washington;98296
61;7726 Driftwood Drive;Monroe;Washington;98272
62;3841 Silver Oaks Place;Monroe;Washington;98272
63;9652 Los Angeles;Monroe;Washington;98272
64;4566 La Jolla;Monroe;Washington;98272
65;1356 Grove Way;Monroe;Washington;98272
66;4775 Kentucky Dr.;Monroe;Washington;98272
67;4734 Sycamore Court;Monroe;Washington;98272
68;896 Southdale;Monroe;Washington;98272
69;2275 Valley Blvd.;Monroe;Washington;98272
70;1792 Belmont Rd.;Monroe;Washington;98272
71;5734 Ashford Court;Monroe;Washington;98272
72;5030 Blue Ridge Dr.;Monroe;Washington;98272
73;158 Walnut Ave;Monroe;Washington;98272
74;8310 Ridge Circle;Monroe;Washington;98272
75;3747 W. Landing Avenue;Monroe;Washington;98272
76;2598 La Vista Circle;Duvall;Washington;98019
77;9693 Mellowood Street;Duvall;Washington;98019
78;1825 Corte Del Prado;Duvall;Washington;98019
79;5086 Nottingham Place;Duvall;Washington;98019
80;3977 Central Avenue;Duvall;Washington;98019
81;8209 Green View Court;Duvall;Washington;98019
82;8463 Vista Avenue;Duvall;Washington;98019
83;5379 Treasure Island Way;Duvall;Washington;98019
84;3421 Bouncing Road;Duvall;Washington;98019
85;991 Vista Verde;Duvall;Washington;98019
86;390 Ridgewood Ct.;Carnation;Washington;98014
87;1411 Ranch Drive;Carnation;Washington;98014
88;9666 Northridge Ct.;Carnation;Washington;98014
89;3074 Arbor Drive;Carnation;Washington;98014
90;9752 Jeanne Circle;Carnation;Washington;98014
91;7166 Brock Lane;Seattle;Washington;98104
92;7126 Ending Ct.;Seattle;Washington;98104
93;4598 Manila Avenue;Seattle;Washington;98104
94;5666 Hazelnut Lane;Seattle;Washington;98104
95;1220 Bradford Way;Seattle;Washington;98104
96;5375 Clearland Circle;Seattle;Washington;98104
97;2639 Anchor Court;Seattle;Washington;98104
98;502 Alexander Pl.;Seattle;Washington;98104
99;5802 Ampersand Drive;Seattle;Washington;98104
100;5125 Cotton Ct.;Seattle;Washington;98104
101;3243 Buckingham Dr.;Seattle;Washington;98104
102;3029 Pastime Dr;Seattle;Washington;98104
103;9537 Ridgewood Drive;Seattle;Washington;98104
104;9964 North Ridge Drive;Seattle;Washington;98104
105;1619 Stillman Court;Seattle;Washington;98104
106;2144 San Rafael;Seattle;Washington;98104
107;7403 N. Broadway;Seattle;Washington;98104
108;7842 Ygnacio Valley Road;Seattle;Washington;98104
109;874 Olivera Road;Seattle;Washington;98104
110;1064 Slow Creek Road;Seattle;Washington;98104
111;77 Birchwood;Seattle;Washington;98104
112;7765 Sunsine Drive;Seattle;Washington;98104
113;1102 Ravenwood;Seattle;Washington;98104
114;1398 Yorba Linda;Seattle;Washington;98104
115;4948 West 4th St;Seattle;Washington;98104
116;8290 Margaret Ct.;Seattle;Washington;98104
117;426 San Rafael;Seattle;Washington;98104
118;136 Balboa Court;Seattle;Washington;98104
119;7439 Laguna Niguel;Seattle;Washington;98104
120;6498 Mining Rd.;Seattle;Washington;98104
121;6578 Woodhaven Ln.;Seattle;Washington;98104
122;2354 Frame Ln.;Seattle;Washington;98104
123;6843 San Simeon Dr.;Seattle;Washington;98104
124;7616 Honey Court;Seattle;Washington;98104
125;931 Corte De Luna;Seattle;Washington;98104
126;7594 Alexander Pl.;Seattle;Washington;98104
127;7127 Los Gatos Court;Seattle;Washington;98104
128;8656 Lakespring Place;Seattle;Washington;98104
129;5025 Holiday Hills;Seattle;Washington;98104
130;5376 Catanzaro Way;Seattle;Washington;98104
131;504 O St.;Edmonds;Washington;98020
132;6870 D Bel Air Drive;Edmonds;Washington;98020
133;8152 Claudia Dr.;Edmonds;Washington;98020
134;6057 Hill Street;Edmonds;Washington;98020
135;2812 Mazatlan;Edmonds;Washington;98020
136;172 Turning Dr.;Edmonds;Washington;98020
137;9784 Mt Etna Drive;Edmonds;Washington;98020
138;2059 Clay Rd;Edmonds;Washington;98020
139;2687 Ridge Road;Edmonds;Washington;98020
140;371 Apple Dr.;Edmonds;Washington;98020
141;3281 Hillview Dr.;Edmonds;Washington;98020
142;2080 Sycamore Drive;Edmonds;Washington;98020
143;7511 Cooper Dr.;Edmonds;Washington;98020
144;9825 Coralie Drive;Edmonds;Washington;98020
145;8411 Mt. Orange Place;Edmonds;Washington;98020
146;207 Berry Court;Edmonds;Washington;98020
147;1061 Buskrik Avenue;Edmonds;Washington;98020
148;3632 Bank Way;Edmonds;Washington;98020
149;3026 Anchor Drive;Edmonds;Washington;98020
150;7338 Green St.;Edmonds;Washington;98020
151;2038 Encino Drive;Edmonds;Washington;98020
152;2466 Clearland Circle;Edmonds;Washington;98020
153;9277 Country View Lane;Edmonds;Washington;98020
154;5423 Champion Rd.;Edmonds;Washington;98020
155;2046 Las Palmas;Edmonds;Washington;98020
156;8684 Military East;Bellevue;Washington;98004
157;7270 Pepper Way;Bellevue;Washington;98004
158;6058 Hill Street;Bellevue;Washington;98004
