680;HL Road Frame - Black, 58;FR-R92B-58;1059,31;1431,5;14;1998-06-01
706;HL Road Frame - Red, 58;FR-R92R-58;1059,31;1431,5;14;1998-06-01
707;Sport-100 Helmet, Red;HL-U509-R;13,0863;34,99;31;2001-07-01
708;Sport-100 Helmet, Black;HL-U509;13,0863;34,99;31;2001-07-01
709;Mountain Bike Socks, M;SO-B909-M;3,3963;9,5;23;2001-07-01
710;Mountain Bike Socks, L;SO-B909-L;3,3963;9,5;23;2001-07-01
711;Sport-100 Helmet, Blue;HL-U509-B;13,0863;34,99;31;2001-07-01
712;AWC Logo Cap;CA-1098;6,9223;8,99;19;2001-07-01
713;Long-Sleeve Logo Jersey, S;LJ-0192-S;38,4923;49,99;21;2001-07-01
714;Long-Sleeve Logo Jersey, M;LJ-0192-M;38,4923;49,99;21;2001-07-01
